Summary,Issue Type,Priority,Labels,Epic Link,Description,Acceptance Criteria,Phase,Story Points
"[Epic] CTOLens metrics enrichment & nimble briefing UX",Epic,High,"ctolens,briefing,metrics,ux",,"Separate fast briefing (assignment data) from enriched briefing (live connectors). Always show last run. Collapsed diagnostics in dashboard only. Scheduled enrichment off critical path. Unconfigured connectors ignored.","Epic accepted when Phases 0-2 complete and documented in docs/backlog/CTOLENS-METRICS-ENRICHMENT-PLAN.md",Epic,
Show last run metadata in CTOLens panel header,Story,High,"ctolens,briefing,ux,phase-0","[Epic] CTOLens metrics enrichment & nimble briefing UX","Display generated_at and metrics_fetched (fast vs live) in dashboard CTOLens panel. One-line summary for executives.","Header shows last briefing time; indicates whether live metrics were used; no connector fetch on page load",Phase 0,2
Rename briefing refresh buttons (fast vs live metrics),Story,Medium,"ctolens,briefing,ux,phase-0","[Epic] CTOLens metrics enrichment & nimble briefing UX","Clarify Update briefing (fast) vs Refresh live metrics. Keep slow path explicit with progress message.","Button labels updated; fast path sends fetch_metrics=false; live path sends fetch_metrics=true",Phase 0,1
Strip diagnostics and raw signals from share/PDF exports,Story,High,"ctolens,briefing,export,phase-0","[Epic] CTOLens metrics enrichment & nimble briefing UX","Ensure normalize_briefing_for_export and PDF resolver exclude raw signals[] run logs and diagnostics. Reports stay executive-only.","Share snapshot and PDF contain executive sections only; no signals[] or run_log in export payload",Phase 0,3
Verify GET briefing never triggers live connector fetch,Story,High,"ctolens,briefing,performance,phase-0","[Epic] CTOLens metrics enrichment & nimble briefing UX","Audit GET /ctolens/briefing and ensure_stored_briefing paths. Login must remain nimble.","GET briefing read-only or fast auto-generate only; no collect_assignment_metrics on load",Phase 0,2
Persist ctolens_run_status on every briefing run,Story,High,"ctolens,briefing,backend,phase-1","[Epic] CTOLens metrics enrichment & nimble briefing UX","Store last_fast_run_at last_enriched_run_at source duration status connectors_attempted in workspace settings alongside ctolens_briefing.","Run metadata persisted on fast and enriched runs; readable via API",Phase 1,3
Persist rolling ctolens_run_log (last 10 runs),Story,Medium,"ctolens,briefing,backend,phase-1","[Epic] CTOLens metrics enrichment & nimble briefing UX","Append run summary entries with run_id type source status summary. Trim to 10.","Log entries stored; API or diagnostics can read last 10; no secrets in log",Phase 1,2
Collapsed Signal & connector details panel (dashboard only),Story,High,"ctolens,briefing,ux,phase-1","[Epic] CTOLens metrics enrichment & nimble briefing UX","Add collapsed details section in CTOLens panel. Per assignment show enabled connectors attempted and outcome. Skip unconfigured connectors. Show evaluated vs shown signal counts.","Panel collapsed by default; not included in share/PDF; unconfigured connectors not listed",Phase 1,5
Separate assignment staleness from metrics staleness,Story,Medium,"ctolens,briefing,ux,phase-1","[Epic] CTOLens metrics enrichment & nimble briefing UX","Extend staleness model: assignment fingerprint changed vs enriched run older than threshold. Show appropriate banner messages.","Banner distinguishes portfolio edits from stale live metrics",Phase 1,3
Fix build_metrics_overlays GitHub/Jira core mapping,Story,High,"ctolens,signals,connectors,phase-1","[Epic] CTOLens metrics enrichment & nimble briefing UX","Map commits_last_7_days commits_last_14_days commits_prior_7_days from GitHub payload. Map jira_issues_last_7_days correctly (not 30d mislabel).","Delivery signals fire correctly after live metrics refresh; unit tests for overlay mapping",Phase 1,5
Structured briefing run logging,Story,Medium,"ctolens,observability,phase-1","[Epic] CTOLens metrics enrichment & nimble briefing UX","Log briefing_run_started and briefing_run_completed with workspace_id run_type duration assignment_count.","Logs appear in application logger; correlate with collect_assignment_metrics logs",Phase 1,2
Workspace settings UI for CTOLens schedule,Story,High,"ctolens,workspace-settings,ux,phase-2","[Epic] CTOLens metrics enrichment & nimble briefing UX","Add editable schedule section: enabled frequency (daily/weekly/manual_only) time_utc day_of_week on_import default off.","Settings save/load via workspace settings API; defaults safe for existing workspaces",Phase 2,5
API for CTOLens schedule in workspace settings,Story,High,"ctolens,api,phase-2","[Epic] CTOLens metrics enrichment & nimble briefing UX","Extend GET/PUT /api/workspaces/{id}/settings for ctolens_schedule schema with validation.","Invalid schedules rejected; backward compatible with missing key",Phase 2,3
