Summary,Issue Type,Priority,Labels,Epic Link,Description,Acceptance Criteria,Phase,Story Points
"[Epic] CTO Lens product analytics layer (MVP)",Epic,High,"analytics,product,mvp,retention,activation",,"Minimal production-grade product analytics: user events sessions activation and retention-ready data in Postgres. Answers: Are users activating engaging and returning? No Kafka warehouse or third-party vendors in MVP.","Epic accepted when events persist activation tracked admin summary endpoint works and core app actions instrumented behind ENABLE_PRODUCT_ANALYTICS",Epic,
Postgres schema for analytics events and sessions,Story,High,"analytics,postgres,schema,mvp","[Epic] CTO Lens product analytics layer (MVP)","Add ctodashboard.analytics_events and analytics_sessions tables via canonical_schema.py and idempotent migration in postgres_store. Optional analytics_user_profiles for first_seen last_seen has_activated first_activation_time without breaking existing users table.","Tables created on fresh and existing DBs; UUID ids; metadata JSONB; indexes on user_id session_id event_name timestamp",Phase 1,5
Core track_event and session_manager module,Story,High,"analytics,backend,mvp","[Epic] CTO Lens product analytics layer (MVP)","Implement services/analytics/event_tracker.py session_manager.py models.py with track_event(user_id event_name session_id metadata) start_session end_session get_current_session. Non-blocking writes; auto-create session; update last_seen.","track_event writes row; session event_count increments; 30min inactivity concept documented; unit tests for core functions",Phase 1,5
Feature flag ENABLE_PRODUCT_ANALYTICS,Story,High,"analytics,feature-flag,mvp","[Epic] CTO Lens product analytics layer (MVP)","Gate all analytics writes and summary endpoints behind ENABLE_PRODUCT_ANALYTICS default false. Expose in service_manager.py integrated_dashboard.py and GET /api/feature-flags.","Flag off: zero analytics DB writes; flag on: tracking active; existing auth and dashboard unchanged",Phase 1,1
Server-side instrumentation auth and dashboard,Story,High,"analytics,instrumentation,auth,mvp","[Epic] CTO Lens product analytics layer (MVP)","Track user_signup user_login dashboard_view on register login and dashboard route or post-auth dashboard load. Use authenticated user email or id consistently.","Events appear in analytics_events after signup login and dashboard visit; no PII in metadata beyond user_id",Phase 1,3
Client-side page_view and feature_used helper,Story,High,"analytics,frontend,instrumentation,mvp","[Epic] CTO Lens product analytics layer (MVP)","Add lightweight trackAnalytics(event_name metadata) in dashboard.html and homepage calling POST /api/analytics/events. Fire page_view on load feature_used as fallback.","Anonymous homepage page_view optional; authenticated dashboard sends session_id cookie or header; failures do not break UI",Phase 1,3
Activation tracking report_generated,Story,High,"analytics,activation,mvp","[Epic] CTO Lens product analytics layer (MVP)","Define activation_event=report_generated. Track on CTOLens briefing generate attention refresh share link create and PDF export. Store first_activation_time and has_activated per user profile.","First report sets has_activated; time-to-activation computable from created_at; duplicate activations do not overwrite first time",Phase 1,3
Instrument integration_connected and insight_viewed,Story,High,"analytics,instrumentation,connectors,mvp","[Epic] CTO Lens product analytics layer (MVP)","Track integration_connected on successful connector credential save/test. Track insight_viewed when user opens Overview briefing panel CTOLens panel or assignment metrics view.","Events fire once per meaningful action; metadata includes connector type or panel name where safe",Phase 1,3
get_user_activity_summary API,Story,Medium,"analytics,api,mvp","[Epic] CTO Lens product analytics layer (MVP)","GET /api/analytics/users/me/activity or include in profile. Return total sessions total events last session duration activation status last seen.","Authenticated user receives accurate summary from DB; 404 or empty state for new users",Phase 2,2
Admin analytics summary endpoint,Story,High,"analytics,api,admin,mvp","[Epic] CTO Lens product analytics layer (MVP)","GET /api/analytics/summary admin-only. Return active users 7d total events 7d avg session duration activation rate returning user count. Simple JSON no charts.","Non-admin gets 403; admin sees correct aggregates; queries use indexes and complete under 2s on typical data",Phase 2,3
Retention-ready exports and Day 1/7/30 queries,Story,Medium,"analytics,retention,mvp","[Epic] CTO Lens product analytics layer (MVP)","Document and implement SQL helpers or summary fields for cohort analysis: users with events on day 0 and return on day 7/30. No UI required in MVP.","Helper functions or documented queries return cohort counts; data model supports analysis without schema change",Phase 2,3
Analytics pytest suite and smoke tests,Story,High,"analytics,testing,mvp","[Epic] CTO Lens product analytics layer (MVP)","Add tests/test_analytics.py covering track_event session lifecycle activation once summary aggregates feature flag off noop.","pytest tests/test_analytics.py passes; full suite still green",Phase 2,3
Deploy analytics tables and env docs,Story,High,"analytics,devops,railway,mvp","[Epic] CTO Lens product analytics layer (MVP)","Update docs/DEPLOYMENT.md and CURRENT-ARCHITECTURE.md with ENABLE_PRODUCT_ANALYTICS rollout notes. Verify Railway migration on deploy.","Staging enables flag for internal QA; production rollout checklist documented",Phase 2,2
